เขต ,พรรค,คะแนน,Tag,พรรคที่ชนะ,สส.แบ่งเขต 
ตราด เขต 1,เพื่อไทย,35000,ชนะขาด,เพื่อไทย,1
ตราด เขต 1,ประชาธิปัตย์,12000,แพ้ขาด,เพื่อไทย,0
ตราด เขต 1,พลังประชารัฐ,8000,แพ้ขาด,เพื่อไทย,0
ตราด เขต 1,อนาคตใหม่,7000,แพ้ขาด,เพื่อไทย,0
ตราด เขต 1,ภูมิใจไทย,7000,แพ้ขาด,เพื่อไทย,0
ตราด เขต 1,พรรคไทยรักษาชาติ,7000,แพ้ขาด,เพื่อไทย,0
ตราด เขต 1,เสรีรวมไทย,7000,แพ้ขาด,เพื่อไทย,0
ตราด เขต 1,รวมพลังประชาชาติไทย,7000,แพ้ขาด,เพื่อไทย,0
นครนายก เขต 1,เพื่อไทย,37500,ชนะขาด,เพื่อไทย,1
นครนายก เขต 1,ประชาธิปัตย์,10000,แพ้ขาด,เพื่อไทย,0
นครนายก เขต 1,พลังประชารัฐ,11000,แพ้ขาด,เพื่อไทย,0
นครนายก เขต 1,อนาคตใหม่,3000,แพ้ขาด,เพื่อไทย,0
นครนายก เขต 1,ภูมิใจไทย,3900,แพ้ขาด,เพื่อไทย,0
นครนายก เขต 1,พรรคไทยรักษาชาติ,200,แพ้ขาด,เพื่อไทย,0
นครนายก เขต 1,เสรีรวมไทย,300,แพ้ขาด,เพื่อไทย,0
นครนายก เขต 1,รวมพลังประชาชาติไทย,400,แพ้ขาด,เพื่อไทย,0
พังงา เขต  1,เพื่อไทย,20000,สูสี,พลังประชารัฐ,0
พังงา เขต  1,ประชาธิปัตย์,3000,แพ้ขาด,พลังประชารัฐ,0
พังงา เขต  1,พลังประชารัฐ,21000,สูสี,พลังประชารัฐ,1
พังงา เขต  1,อนาคตใหม่,4000,แพ้ขาด,พลังประชารัฐ,0
พังงา เขต  1,ภูมิใจไทย,19500,สูสี,พลังประชารัฐ,0
พังงา เขต  1,พรรคไทยรักษาชาติ,4500,แพ้ขาด,พลังประชารัฐ,0
พังงา เขต  1,เสรีรวมไทย,3000,แพ้ขาด,พลังประชารัฐ,0
พังงา เขต  1,รวมพลังประชาชาติไทย,2900,แพ้ขาด,พลังประชารัฐ,0
แม่ฮ่องสอน เขต 1,เพื่อไทย,34000,ชนะขาด,เพื่อไทย,1
แม่ฮ่องสอน เขต 1,ประชาธิปัตย์,11800,แพ้ขาด,เพื่อไทย,0
แม่ฮ่องสอน เขต 1,พลังประชารัฐ,5600,แพ้ขาด,เพื่อไทย,0
แม่ฮ่องสอน เขต 1,อนาคตใหม่,5600,แพ้ขาด,เพื่อไทย,0
แม่ฮ่องสอน เขต 1,ภูมิใจไทย,5600,แพ้ขาด,เพื่อไทย,0
แม่ฮ่องสอน เขต 1,พรรคไทยรักษาชาติ,5600,แพ้ขาด,เพื่อไทย,0
แม่ฮ่องสอน เขต 1,เสรีรวมไทย,5600,แพ้ขาด,เพื่อไทย,0
แม่ฮ่องสอน เขต 1,รวมพลังประชาชาติไทย,5600,แพ้ขาด,เพื่อไทย,0
ระนอง เขต 1,เพื่อไทย,11750,แพ้ขาด,ประชาธิปัตย์,0
ระนอง เขต 1,ประชาธิปัตย์,45000,ชนะขาด,ประชาธิปัตย์,1
ระนอง เขต 1,พลังประชารัฐ,1800,แพ้ขาด,ประชาธิปัตย์,0
ระนอง เขต 1,อนาคตใหม่,4500,แพ้ขาด,ประชาธิปัตย์,0
ระนอง เขต 1,ภูมิใจไทย,5000,แพ้ขาด,ประชาธิปัตย์,0
ระนอง เขต 1,พรรคไทยรักษาชาติ,7600,แพ้ขาด,ประชาธิปัตย์,0
ระนอง เขต 1,เสรีรวมไทย,500,แพ้ขาด,ประชาธิปัตย์,0
ระนอง เขต 1,รวมพลังประชาชาติไทย,6700,แพ้ขาด,ประชาธิปัตย์,0
สมุทรสงคราม เขต 1,เพื่อไทย,12500,สูสี,เพื่อไทย,1
สมุทรสงคราม เขต 1,ประชาธิปัตย์,12000,สููสี,เพื่อไทย,0
สมุทรสงคราม เขต 1,พลังประชารัฐ,10500,สูสี,เพื่อไทย,0
สมุทรสงคราม เขต 1,อนาคตใหม่,11000,สูสี,เพื่อไทย,0
สมุทรสงคราม เขต 1,ภูมิใจไทย,4500,แพ้ขาด,เพื่อไทย,0
สมุทรสงคราม เขต 1,พรรคไทยรักษาชาติ,2500,แพ้ขาด,เพื่อไทย,0
สมุทรสงคราม เขต 1,เสรีรวมไทย,3000,แพ้ขาด,เพื่อไทย,0
สมุทรสงคราม เขต 1,รวมพลังประชาชาติไทย,10000,สูสี,เพื่อไทย,0
สิงห์บุรี เขต 1,เพื่อไทย,7000,แพ้ขาด,เสรีรวมไทย,0
สิงห์บุรี เขต 1,ประชาธิปัตย์,6000,แพ้ขาด,เสรีรวมไทย,0
สิงห์บุรี เขต 1,พลังประชารัฐ,3000,แพ้ขาด,เสรีรวมไทย,0
สิงห์บุรี เขต 1,อนาคตใหม่,2500,แพ้ขาด,เสรีรวมไทย,0
สิงห์บุรี เขต 1,ภูมิใจไทย,3500,แพ้ขาด,เสรีรวมไทย,0
สิงห์บุรี เขต 1,พรรคไทยรักษาชาติ,1200,แพ้ขาด,เสรีรวมไทย,0
สิงห์บุรี เขต 1,เสรีรวมไทย,37000,ชนะขาด,เสรีรวมไทย,1
สิงห์บุรี เขต 1,รวมพลังประชาชาติไทย,3500,แพ้ขาด,เสรีรวมไทย,0
อ่างทอง เขต 1,เพื่อไทย,34000,ชนะขาด,เพื่อไทย,1
อ่างทอง เขต 1,ประชาธิปัตย์,5600,แพ้ขาด,เพื่อไทย,0
อ่างทอง เขต 1,พลังประชารัฐ,8300,แพ้ขาด,เพื่อไทย,0
อ่างทอง เขต 1,อนาคตใหม่,7500,แพ้ขาด,เพื่อไทย,0
อ่างทอง เขต 1,ภูมิใจไทย,2700,แพ้ขาด,เพื่อไทย,0
อ่างทอง เขต 1,พรรคไทยรักษาชาติ,4500,แพ้ขาด,เพื่อไทย,0
อ่างทอง เขต 1,เสรีรวมไทย,500,แพ้ขาด,เพื่อไทย,0
อ่างทอง เขต 1,รวมพลังประชาชาติไทย,780,แพ้ขาด,เพื่อไทย,0
กระบี่ เขต 1,เพื่อไทย,11000,แพ้ขาด,ประชาธิปัตย์,0
กระบี่ เขต 1,ประชาธิปัตย์,33250,ชนะขาด,ประชาธิปัตย์,1
กระบี่ เขต 1,พลังประชารัฐ,4300,แพ้ขาด,ประชาธิปัตย์,0
กระบี่ เขต 1,อนาคตใหม่,3400,แพ้ขาด,ประชาธิปัตย์,0
กระบี่ เขต 1,ภูมิใจไทย,5000,แพ้ขาด,ประชาธิปัตย์,0
กระบี่ เขต 1,พรรคไทยรักษาชาติ,478,แพ้ขาด,ประชาธิปัตย์,0
กระบี่ เขต 1,เสรีรวมไทย,800,แพ้ขาด,ประชาธิปัตย์,0
กระบี่ เขต 1,รวมพลังประชาชาติไทย,70,แพ้ขาด,ประชาธิปัตย์,0
กระบี่ เขต 2,เพื่อไทย,27000,สูสี,ประชาธิปัตย์,0
กระบี่ เขต 2,ประชาธิปัตย์,28000,สูสี,ประชาธิปัตย์,1
กระบี่ เขต 2,พลังประชารัฐ,3400,แพ้ขาด,ประชาธิปัตย์,0
กระบี่ เขต 2,อนาคตใหม่,4500,แพ้ขาด,ประชาธิปัตย์,0
กระบี่ เขต 2,ภูมิใจไทย,3600,แพ้ขาด,ประชาธิปัตย์,0
กระบี่ เขต 2,พรรคไทยรักษาชาติ,4500,แพ้ขาด,ประชาธิปัตย์,0
กระบี่ เขต 2,เสรีรวมไทย,2000,แพ้ขาด,ประชาธิปัตย์,0
กระบี่ เขต 2,รวมพลังประชาชาติไทย,1500,แพ้ขาด,ประชาธิปัตย์,0
ชัยนาท เขต 1,เพื่อไทย,45000,ชนะขาด,เพื่อไทย,1
ชัยนาท เขต 1,ประชาธิปัตย์,11000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 1,พลังประชารัฐ,3000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 1,อนาคตใหม่,3000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 1,ภูมิใจไทย,3000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 1,พรรคไทยรักษาชาติ,3000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 1,เสรีรวมไทย,3000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 1,รวมพลังประชาชาติไทย,3000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 2,เพื่อไทย,36000,ชนะขาด,เพื่อไทย,1
ชัยนาท เขต 2,ประชาธิปัตย์,8000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 2,พลังประชารัฐ,8000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 2,อนาคตใหม่,8000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 2,ภูมิใจไทย,8000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 2,พรรคไทยรักษาชาติ,8000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 2,เสรีรวมไทย,8000,แพ้ขาด,เพื่อไทย,0
ชัยนาท เขต 2,รวมพลังประชาชาติไทย,8000,แพ้ขาด,เพื่อไทย,0
บึงกาฬ เขต 1,เพื่อไทย,11500,สูสี,ภูมิใจไทย,0
บึงกาฬ เขต 1,ประชาธิปัตย์,11250,สูสี,ภูมิใจไทย,0
บึงกาฬ เขต 1,พลังประชารัฐ,4000,แพ้ขาด,ภูมิใจไทย,0
บึงกาฬ เขต 1,อนาคตใหม่,4300,แพ้ขาด,ภูมิใจไทย,0
บึงกาฬ เขต 1,ภูมิใจไทย,12000,สูสี,ภูมิใจไทย,1
บึงกาฬ เขต 1,พรรคไทยรักษาชาติ,1200,แพ้ขาด,ภูมิใจไทย,0
บึงกาฬ เขต 1,เสรีรวมไทย,800,แพ้ขาด,ภูมิใจไทย,0
บึงกาฬ เขต 1,รวมพลังประชาชาติไทย,560,แพ้ขาด,ภูมิใจไทย,0
บึงกาฬ เขต 2,เพื่อไทย,50500,ชนะขาด,เพื่อไทย,1
บึงกาฬ เขต 2,ประชาธิปัตย์,10000,แพ้ขาด,เพื่อไทย,0
บึงกาฬ เขต 2,พลังประชารัฐ,800,แพ้ขาด,เพื่อไทย,0
บึงกาฬ เขต 2,อนาคตใหม่,9600,แพ้ขาด,เพื่อไทย,0
บึงกาฬ เขต 2,ภูมิใจไทย,200,แพ้ขาด,เพื่อไทย,0
บึงกาฬ เขต 2,พรรคไทยรักษาชาติ,150,แพ้ขาด,เพื่อไทย,0
บึงกาฬ เขต 2,เสรีรวมไทย,1500,แพ้ขาด,เพื่อไทย,0
บึงกาฬ เขต 2,รวมพลังประชาชาติไทย,250,แพ้ขาด,เพื่อไทย,0
แพร่ เขต 1,เพื่อไทย,43000,ชนะขาด,เพื่อไทย,1
แพร่ เขต 1,ประชาธิปัตย์,6000,แพ้ขาด,เพื่อไทย,0
แพร่ เขต 1,พลังประชารัฐ,7000,แพ้ขาด,เพื่อไทย,0
แพร่ เขต 1,อนาคตใหม่,5600,แพ้ขาด,เพื่อไทย,0
แพร่ เขต 1,ภูมิใจไทย,4500,แพ้ขาด,เพื่อไทย,0
แพร่ เขต 1,พรรคไทยรักษาชาติ,3900,แพ้ขาด,เพื่อไทย,0
แพร่ เขต 1,เสรีรวมไทย,344,แพ้ขาด,เพื่อไทย,0
แพร่ เขต 1,รวมพลังประชาชาติไทย,565,แพ้ขาด,เพื่อไทย,0
แพร่ เขต 2,เพื่อไทย,14000,สูสี,เพื่อไทย,1
แพร่ เขต 2,ประชาธิปัตย์,5400,แพ้ขาด,เพื่อไทย,0
แพร่ เขต 2,พลังประชารัฐ,3000,แพ้ขาด,เพื่อไทย,0
แพร่ เขต 2,อนาคตใหม่,13500,สูสี,เพื่อไทย,0
แพร่ เขต 2,ภูมิใจไทย,13200,สูสี,เพื่อไทย,0
แพร่ เขต 2,พรรคไทยรักษาชาติ,348,แพ้ขาด,เพื่อไทย,0
แพร่ เขต 2,เสรีรวมไทย,3570,แพ้ขาด,เพื่อไทย,0
แพร่ เขต 2,รวมพลังประชาชาติไทย,3300,แพ้ขาด,เพื่อไทย,0
ภูเก็ต เขต 1,เพื่อไทย,4000,แพ้ขาด,ประชาธิปัตย์,0
ภูเก็ต เขต 1,ประชาธิปัตย์,54000,ชนะขาด,ประชาธิปัตย์,1
ภูเก็ต เขต 1,พลังประชารัฐ,3200,แพ้ขาด,ประชาธิปัตย์,0
ภูเก็ต เขต 1,อนาคตใหม่,5000,แพ้ขาด,ประชาธิปัตย์,0
ภูเก็ต เขต 1,ภูมิใจไทย,3100,แพ้ขาด,ประชาธิปัตย์,0
ภูเก็ต เขต 1,พรรคไทยรักษาชาติ,6000,แพ้ขาด,ประชาธิปัตย์,0
ภูเก็ต เขต 1,เสรีรวมไทย,6700,แพ้ขาด,ประชาธิปัตย์,0
ภูเก็ต เขต 1,รวมพลังประชาชาติไทย,3200,แพ้ขาด,ประชาธิปัตย์,0
ภูเก็ต เขต 2,เพื่อไทย,6000,แพ้ขาด,ประชาธิปัตย์,0
ภูเก็ต เขต 2,ประชาธิปัตย์,28000,ชนะขาด,ประชาธิปัตย์,1
ภูเก็ต เขต 2,พลังประชารัฐ,5000,แพ้ขาด,ประชาธิปัตย์,0
ภูเก็ต เขต 2,อนาคตใหม่,3700,แพ้ขาด,ประชาธิปัตย์,0
