IdArea,NameArea,idParty,NameArea,NoRegister,NameRegister,Status,NameInitial,Tags[],คะแนน,Source
A0101,ตราด เขต1,034,เพื่อไทย,1,ณัฐกาญจน์ นุชประเสริฐ,TRUE,พท.,,,
A0101,ตราด เขต1,001,ประชาธิปัตย์,2,อภิญญา ชื่นชม,TRUE,ปชป.,,,
A0101,ตราด เขต1,192,พลังประชารัฐ,3,ผุสดี เอียดศรี,TRUE,พปชร.,,,
A0101,ตราด เขต1,177,อนาคตใหม่,4,ศิริพร ดวงสีทอง,TRUE,อ.น.ค.,,,
A0101,ตราด เขต1,063,ภูมิใจไทย,5,นฤมล ศุภนัตร์,TRUE,ภท.,,,
A0101,ตราด เขต1,077,พรรคไทยรักษาชาติ,6,สุชานาถ แซ่หลิม,TRUE,ทษช.,,,
A0101,ตราด เขต1,145,เสรีรวมไทย,7,ภิญญาพัชญ์ ขาวคม,TRUE,สร.,,,
A0101,ตราด เขต1,181,รวมพลังประชาชาติไทย,8,จุฑามาศ ชัมภูชนะ,TRUE,รปช.,,,
A0201,นครนายก เขต1,034,เพื่อไทย,1,พิษณุ วงสูงเนิน,TRUE,พท.,,,
A0201,นครนายก เขต1,001,ประชาธิปัตย์,2,ธวัลรัตน์ห อินทรสิงห์,TRUE,ปชป.,,,
A0201,นครนายก เขต1,192,พลังประชารัฐ,3,มนพิพัฒน์ ปั้นไว,TRUE,พปชร.,,,
A0201,นครนายก เขต1,177,อนาคตใหม่,4,ธรรมาวุธ สนิท,TRUE,อ.น.ค.,,,
A0201,นครนายก เขต1,063,ภูมิใจไทย,5,สุวรินทร์ จุ้ยชู,TRUE,ภท.,,,
A0201,นครนายก เขต1,077,พรรคไทยรักษาชาติ,6,สุภาพร ชยปาลกุล,TRUE,ทษช.,,,
A0201,นครนายก เขต1,145,เสรีรวมไทย,7,พิมไพลิน มีจัตุรัส,TRUE,สร.,,,
A0201,นครนายก เขต1,181,รวมพลังประชาชาติไทย,8,มัทนียา อรวิบาล,TRUE,รปช.,,,
A0301,พังงา เขต 1,034,เพื่อไทย,1,นิอร แก้วพิจิตร,TRUE,พท.,,,
A0301,พังงา เขต 1,001,ประชาธิปัตย์,2,กัญญารัตน์ ร้อยแก้ว,TRUE,ปชป.,,,
A0301,พังงา เขต 1,192,พลังประชารัฐ,3,รสริน เกณฑ์สระคู,TRUE,พปชร.,,,
A0301,พังงา เขต 1,177,อนาคตใหม่,4,อรรถพร ตันถิลา,TRUE,อ.น.ค.,,,
A0301,พังงา เขต 1,063,ภูมิใจไทย,5,มีรพะ สะอุ,TRUE,ภท.,,,
A0301,พังงา เขต 1,077,พรรคไทยรักษาชาติ,6,รีซาวาตี เจะเด็ง,TRUE,ทษช.,,,
A0301,พังงา เขต 1,145,เสรีรวมไทย,7,สุภารัตน์ สัสดีเมือง,TRUE,สร.,,,
A0301,พังงา เขต 1,181,รวมพลังประชาชาติไทย,8,ซูไรนี เงาะ,TRUE,รปช.,,,
A0401,แม่ฮ่องสอน เขต1,034,เพื่อไทย,1,กีรติ แซ่เตียว,TRUE,พท.,,,
A0401,แม่ฮ่องสอน เขต1,001,ประชาธิปัตย์,2,วราพร โต๊ะลีบำรุง,TRUE,ปชป.,,,
A0401,แม่ฮ่องสอน เขต1,192,พลังประชารัฐ,3,มูนาร์ เจะดอเลาะ,TRUE,พปชร.,,,
A0401,แม่ฮ่องสอน เขต1,177,อนาคตใหม่,4,วิลาสินี ทองสัมฤทธิ์,TRUE,อ.น.ค.,,,
A0401,แม่ฮ่องสอน เขต1,063,ภูมิใจไทย,5,อรรถพร รอดนิตย์,TRUE,ภท.,,,
A0401,แม่ฮ่องสอน เขต1,077,พรรคไทยรักษาชาติ,6,พิมล พนาเชิงชาญ,TRUE,ทษช.,,,
A0401,แม่ฮ่องสอน เขต1,145,เสรีรวมไทย,7,สมิต ชุติสิระ,TRUE,สร.,,,
A0401,แม่ฮ่องสอน เขต1,181,รวมพลังประชาชาติไทย,8,กุลริสา จ่าสูงเนิน,TRUE,รปช.,,,
A0501,ระนอง เขต1,034,เพื่อไทย,1,ณวพล อินทะกนก,TRUE,พท.,,,
A0501,ระนอง เขต1,001,ประชาธิปัตย์,2,กษิต โยธสิงห์,TRUE,ปชป.,,,
A0501,ระนอง เขต1,192,พลังประชารัฐ,3,เนติพัทธ์ อัมไพพันธ์,TRUE,พปชร.,,,
A0501,ระนอง เขต1,177,อนาคตใหม่,4,สุภาวดี ไชยแก้ว,TRUE,อ.น.ค.,,,
