รหัสพรรค,ชื่อเขต,รหัสเขต,ชื่อพรรค,เปอร์เซ็น/คะแนน,ภูมิภาค
999,ตราด เขต1,A0101,บัตรดี,,ตะวันออกเฉียงใต้
034,ตราด เขต1,A0101,เพื่อไทย,21,ตะวันออกเฉียงใต้
001,ตราด เขต1,A0101,ประชาธิปัตย์,14,ตะวันออกเฉียงใต้
192,ตราด เขต1,A0101,พลังประชารัฐ,13,ตะวันออกเฉียงใต้
177,ตราด เขต1,A0101,อนาคตใหม่,10,ตะวันออกเฉียงใต้
063,ตราด เขต1,A0101,ภูมิใจไทย,14,ตะวันออกเฉียงใต้
077,ตราด เขต1,A0101,พรรคไทยรักษาชาติ,8,ตะวันออกเฉียงใต้
145,ตราด เขต1,A0101,เสรีรวมไทย,5,ตะวันออกเฉียงใต้
181,ตราด เขต1,A0101,รวมพลังประชาชาติไทย,7,ตะวันออกเฉียงใต้
000,ตราด เขต1,A0101,บัตรเสีย,3,ตะวันออกเฉียงใต้
888,ตราด เขต1,A0101,ไม่ใช่สิทธิ์ลงคะแนน,5,ตะวันออกเฉียงใต้
999,นครนายก เขต1,A0201,บัตรดี,,กลาง
034,นครนายก เขต1,A0201,เพื่อไทย,15,กลาง
001,นครนายก เขต1,A0201,ประชาธิปัตย์,15,กลาง
192,นครนายก เขต1,A0201,พลังประชารัฐ,13,กลาง
177,นครนายก เขต1,A0201,อนาคตใหม่,12,กลาง
063,นครนายก เขต1,A0201,ภูมิใจไทย,10,กลาง
077,นครนายก เขต1,A0201,พรรคไทยรักษาชาติ,5,กลาง
145,นครนายก เขต1,A0201,เสรีรวมไทย,8,กลาง
181,นครนายก เขต1,A0201,รวมพลังประชาชาติไทย,7,กลาง
000,นครนายก เขต1,A0201,บัตรเสีย,5,กลาง
888,นครนายก เขต1,A0201,ไม่ใช่สิทธิ์ลงคะแนน,10,กลาง
999,พังงา เขต 1,A0301,บัตรดี,,ใต้
034,พังงา เขต 1,A0301,เพื่อไทย,14,ใต้
001,พังงา เขต 1,A0301,ประชาธิปัตย์,6,ใต้
192,พังงา เขต 1,A0301,พลังประชารัฐ,11,ใต้
177,พังงา เขต 1,A0301,อนาคตใหม่,13,ใต้
063,พังงา เขต 1,A0301,ภูมิใจไทย,12,ใต้
077,พังงา เขต 1,A0301,พรรคไทยรักษาชาติ,14,ใต้
145,พังงา เขต 1,A0301,เสรีรวมไทย,5,ใต้
181,พังงา เขต 1,A0301,รวมพลังประชาชาติไทย,8,ใต้
000,พังงา เขต 1,A0301,บัตรเสีย,7,ใต้
888,พังงา เขต 1,A0301,ไม่ใช่สิทธิ์ลงคะแนน,10,ใต้
999,แม่ฮ่องสอน เขต1,A0401,บัตรดี,,เหนือ
034,แม่ฮ่องสอน เขต1,A0401,เพื่อไทย,11,เหนือ
001,แม่ฮ่องสอน เขต1,A0401,ประชาธิปัตย์,12,เหนือ
192,แม่ฮ่องสอน เขต1,A0401,พลังประชารัฐ,6,เหนือ
177,แม่ฮ่องสอน เขต1,A0401,อนาคตใหม่,8,เหนือ
063,แม่ฮ่องสอน เขต1,A0401,ภูมิใจไทย,17,เหนือ
077,แม่ฮ่องสอน เขต1,A0401,พรรคไทยรักษาชาติ,19,เหนือ
145,แม่ฮ่องสอน เขต1,A0401,เสรีรวมไทย,10,เหนือ
181,แม่ฮ่องสอน เขต1,A0401,รวมพลังประชาชาติไทย,6,เหนือ
000,แม่ฮ่องสอน เขต1,A0401,บัตรเสีย,5,เหนือ
888,แม่ฮ่องสอน เขต2,A0402,ไม่ใช่สิทธิ์ลงคะแนน,6,เหนือ
999,ระนอง เขต1,A0501,บัตรดี,,ใต้
034,ระนอง เขต1,A0501,เพื่อไทย,18,ใต้
001,ระนอง เขต1,A0501,ประชาธิปัตย์,11,ใต้
192,ระนอง เขต1,A0501,พลังประชารัฐ,8,ใต้
177,ระนอง เขต1,A0501,อนาคตใหม่,15,ใต้
063,ระนอง เขต1,A0501,ภูมิใจไทย,10,ใต้
077,ระนอง เขต1,A0501,พรรคไทยรักษาชาติ,12,ใต้
145,ระนอง เขต1,A0501,เสรีรวมไทย,5,ใต้
181,ระนอง เขต1,A0501,รวมพลังประชาชาติไทย,10,ใต้
000,ระนอง เขต1,A0501,บัตรเสีย,8,ใต้
888,ระนอง เขต1,A0501,ไม่ใช่สิทธิ์ลงคะแนน,3,ใต้
999,สมุทรสงคราม เขต1,A0601,บัตรดี,,กลาง
034,สมุทรสงคราม เขต1,A0601,เพื่อไทย,7,กลาง
001,สมุทรสงคราม เขต1,A0601,ประชาธิปัตย์,9,กลาง
192,สมุทรสงคราม เขต1,A0601,พลังประชารัฐ,12,กลาง
177,สมุทรสงคราม เขต1,A0601,อนาคตใหม่,5,กลาง
063,สมุทรสงคราม เขต1,A0601,ภูมิใจไทย,5,กลาง
077,สมุทรสงคราม เขต1,A0601,พรรคไทยรักษาชาติ,5,กลาง
145,สมุทรสงคราม เขต1,A0601,เสรีรวมไทย,13,กลาง
181,สมุทรสงคราม เขต1,A0601,รวมพลังประชาชาติไทย,15,กลาง
000,สมุทรสงคราม เขต1,A0601,บัตรเสีย,13,กลาง
888,สมุทรสงคราม เขต1,A0601,ไม่ใช่สิทธิ์ลงคะแนน,16,กลาง
999,สิงห์บุรี เขต1,A0701,บัตรดี,,กลาง
034,สิงห์บุรี เขต1,A0701,เพื่อไทย,15,กลาง
001,สิงห์บุรี เขต1,A0701,ประชาธิปัตย์,10,กลาง
192,สิงห์บุรี เขต1,A0701,พลังประชารัฐ,5,กลาง
177,สิงห์บุรี เขต1,A0701,อนาคตใหม่,20,กลาง
063,สิงห์บุรี เขต1,A0701,ภูมิใจไทย,6,กลาง
077,สิงห์บุรี เขต1,A0701,พรรคไทยรักษาชาติ,10,กลาง
145,สิงห์บุรี เขต1,A0701,เสรีรวมไทย,17,กลาง
181,สิงห์บุรี เขต1,A0701,รวมพลังประชาชาติไทย,5,กลาง
000,สิงห์บุรี เขต1,A0701,บัตรเสีย,10,กลาง
888,สิงห์บุรี เขต2,A0702,ไม่ใช่สิทธิ์ลงคะแนน,2,กลาง
999,อ่างทอง เขต1,A0801,บัตรดี,,กลาง
034,อ่างทอง เขต1,A0801,เพื่อไทย,6,กลาง
001,อ่างทอง เขต1,A0801,ประชาธิปัตย์,11,กลาง
192,อ่างทอง เขต1,A0801,พลังประชารัฐ,8,กลาง
177,อ่างทอง เขต1,A0801,อนาคตใหม่,5,กลาง
063,อ่างทอง เขต1,A0801,ภูมิใจไทย,19,กลาง
077,อ่างทอง เขต1,A0801,พรรคไทยรักษาชาติ,9,กลาง
145,อ่างทอง เขต1,A0801,เสรีรวมไทย,15,กลาง
181,อ่างทอง เขต1,A0801,รวมพลังประชาชาติไทย,7,กลาง
000,อ่างทอง เขต1,A0801,บัตรเสีย,20,กลาง
888,อ่างทอง เขต1,A0801,ไม่ใช่สิทธิ์ลงคะแนน,0,กลาง
999,กระบี่ เขต1,A0901,บัตรดี,,ใต้
034,กระบี่ เขต1,A0901,เพื่อไทย,9,ใต้
001,กระบี่ เขต1,A0901,ประชาธิปัตย์,7,ใต้
192,กระบี่ เขต1,A0901,พลังประชารัฐ,14,ใต้
177,กระบี่ เขต1,A0901,อนาคตใหม่,9,ใต้
063,กระบี่ เขต1,A0901,ภูมิใจไทย,14,ใต้
077,กระบี่ เขต1,A0901,พรรคไทยรักษาชาติ,10,ใต้
145,กระบี่ เขต1,A0901,เสรีรวมไทย,6,ใต้
181,กระบี่ เขต1,A0901,รวมพลังประชาชาติไทย,13,ใต้
000,กระบี่ เขต1,A0901,บัตรเสีย,13,ใต้
888,กระบี่ เขต1,A0901,ไม่ใช่สิทธิ์ลงคะแนน,5,ใต้
999,กระบี่ เขต2,A0902,บัตรดี,,ใต้
034,กระบี่ เขต2,A0902,เพื่อไทย,5,ใต้
001,กระบี่ เขต2,A0902,ประชาธิปัตย์,13,ใต้
192,กระบี่ เขต2,A0902,พลังประชารัฐ,20,ใต้
177,กระบี่ เขต2,A0902,อนาคตใหม่,13,ใต้
063,กระบี่ เขต2,A0902,ภูมิใจไทย,13,ใต้
077,กระบี่ เขต2,A0902,พรรคไทยรักษาชาติ,12,ใต้
145,กระบี่ เขต2,A0902,เสรีรวมไทย,7,ใต้
181,กระบี่ เขต2,A0902,รวมพลังประชาชาติไทย,8,ใต้
000,กระบี่ เขต2,A0902,บัตรเสีย,8,ใต้
888,กระบี่ เขต2,A0902,ไม่ใช่สิทธิ์ลงคะแนน,1,ใต้
999,ชัยนาท เขต1,A1001,บัตรดี,,กลาง
034,ชัยนาท เขต1,A1001,เพื่อไทย,9,กลาง
001,ชัยนาท เขต1,A1001,ประชาธิปัตย์,16,กลาง
192,ชัยนาท เขต1,A1001,พลังประชารัฐ,14,กลาง
177,ชัยนาท เขต1,A1001,อนาคตใหม่,7,กลาง
063,ชัยนาท เขต1,A1001,ภูมิใจไทย,6,กลาง
077,ชัยนาท เขต1,A1001,พรรคไทยรักษาชาติ,17,กลาง
145,ชัยนาท เขต1,A1001,เสรีรวมไทย,10,กลาง
181,ชัยนาท เขต1,A1001,รวมพลังประชาชาติไทย,7,กลาง
000,ชัยนาท เขต1,A1001,บัตรเสีย,12,กลาง
888,ชัยนาท เขต1,A1001,ไม่ใช่สิทธิ์ลงคะแนน,2,กลาง
999,ชัยนาท เขต2,A1002,บัตรดี,,กลาง
034,ชัยนาท เขต2,A1002,เพื่อไทย,5,กลาง
001,ชัยนาท เขต2,A1002,ประชาธิปัตย์,18,กลาง
192,ชัยนาท เขต2,A1002,พลังประชารัฐ,18,กลาง
177,ชัยนาท เขต2,A1002,อนาคตใหม่,11,กลาง
063,ชัยนาท เขต2,A1002,ภูมิใจไทย,9,กลาง
077,ชัยนาท เขต2,A1002,พรรคไทยรักษาชาติ,7,กลาง
145,ชัยนาท เขต2,A1002,เสรีรวมไทย,14,กลาง
181,ชัยนาท เขต2,A1002,รวมพลังประชาชาติไทย,8,กลาง
