IdArea,NameArea,IdParty,NameParty,NoRegister,NameRegister,Status,NameInitial,Tags[],Score,Source
A7301,เชียงใหม่ เขต 1,181,รวมพลังประชาชาติไทย,1,นาย สุรศักดิ์ แซ่โค้ว,TRUE,รปช.,,,
A7301,เชียงใหม่ เขต 1,172,ประชาภิวัฒน์,2,นาย ธัญญะ ผลธัญญา,TRUE,ปชภ.,,,
A7301,เชียงใหม่ เขต 1,187,ประชาชาติ,3,นาย ชาญชัย เชาวนางกูร,TRUE,ปช.,,,
A7301,เชียงใหม่ เขต 1,175,พลังธรรมใหม่,4,นาง ไพลิน เซลามัน,TRUE,พธม.,,,
A7301,เชียงใหม่ เขต 1,180,ไทยศรีวิไลย์,5,นาย สมหมาย อินเพลา,TRUE,ทศล.,,,
A7301,เชียงใหม่ เขต 1,034,เพื่อไทย,6,นางสาว ทัศนีย์ บูรณุปกรณ์,TRUE,พท.,,,
A7301,เชียงใหม่ เขต 1,133,รักษ์ผืนป่าประเทศไทย,7,นางสาว สุพรรษา กิ่งไทยสง,TRUE,ทป.,,,
A7301,เชียงใหม่ เขต 1,191,ประชานิยม,8,นาย สมกฤต บุญไชย,TRUE,ปย.,,,
A7301,เชียงใหม่ เขต 1,177,อนาคตใหม่,9,นางสาว ศุภรี ฉัตรกันยารัตน์,TRUE,อนค.,,,
A7301,เชียงใหม่ เขต 1,063,ภูมิใจไทย,10,นาย อานนท์ วีระมาชา,TRUE,ภท.,,,
A7301,เชียงใหม่ เขต 1,001,ประชาธิปัตย์,11,นาย พรชัย จิตรนวเสถียร,TRUE,ปชป.,,,
A7301,เชียงใหม่ เขต 1,149,เพื่อชาติ,12,นาย กฤษณพงษ์ พรมบึงรำ,TRUE,พ.พ.ช.,,,
A7301,เชียงใหม่ เขต 1,145,เสรีรวมไทย,13,นาย มหวรรณ กะวัง,TRUE,สร.,,,
A7301,เชียงใหม่ เขต 1,124,พลังท้องถิ่นไท,14,จ่าสิบตรี จอห์นนพดล วศินสุนทร,TRUE,ทถท.,,,
A7301,เชียงใหม่ เขต 1,055,ชาติไทยพัฒนา,15,นาย วิริยะ ช่วยบำรุง,TRUE,ชทพ.,,,
